# Custom bond file  n0=64  e1=8.0  std_frac=0.3  seed=42
# particle_i  particle_j  energy
0 1 8.731321
8 9 5.504038
16 17 9.801083
24 25 10.257355
32 33 3.317516
40 41 4.874769
48 49 8.306817
56 57 7.241018
1 2 7.959677
9 10 5.952695
17 18 10.110555
25 26 9.866701
33 34 8.158474
41 42 10.705379
49 50 9.122022
57 58 5.937698
2 3 8.885002
10 11 5.698682
18 19 10.108281
26 27 7.880178
34 35 7.556330
42 43 6.365769
50 51 10.934099
58 59 7.629129
3 4 6.972013
11 12 7.154879
19 20 9.277542
27 28 8.877066
35 36 8.990558
43 44 9.033970
51 52 13.139954
59 60 7.024604
4 5 6.770617
12 13 6.046945
20 21 9.478351
28 29 10.709534
36 37 7.726526
44 45 5.983624
52 53 6.021245
60 61 9.561423
5 6 9.783810
13 14 9.303570
21 22 6.402777
29 30 8.557187
37 38 8.280046
45 46 8.524853
53 54 10.091429
61 62 8.536629
6 7 9.629393
14 15 8.162190
22 23 8.693887
30 31 9.515092
38 39 4.502826
46 47 7.232789
54 55 6.871106
62 63 6.466693
0 8 7.339659
8 16 11.587859
16 24 5.922005
24 32 10.323868
32 40 3.961113
40 48 7.196276
48 56 8.390607
1 9 9.406934
9 17 9.706944
17 25 9.904033
25 33 7.163060
33 41 6.890356
41 49 10.059142
49 57 7.540870
2 10 4.938353
10 18 5.280111
18 26 5.793315
26 34 9.193186
34 42 8.341822
42 50 9.657165
50 58 6.974594
3 11 8.380495
11 19 9.501417
19 27 7.257568
27 35 9.096261
35 43 6.411378
43 51 7.128671
51 59 7.083829
4 12 5.129985
12 20 9.168734
20 28 6.873434
28 36 8.029986
36 44 9.153792
44 52 9.071675
52 60 9.596924
5 13 7.763635
13 21 6.984084
21 29 7.808676
29 37 3.950397
37 45 4.526930
45 53 4.825521
53 61 5.606608
6 14 8.959458
14 22 5.826850
22 30 7.092410
30 38 11.118148
38 46 7.144966
46 54 9.770037
54 62 5.759318
7 15 7.506950
15 23 5.719947
23 31 7.186321
31 39 10.016740
39 47 3.854431
47 55 9.042617
55 63 8.570565
