# Linear polymer chain  n0=64  energy=1000.0
# Snake path through 8x8 grid - every consecutive pair is adjacent
# Use with ncopies=1 to avoid cross-linking between chains
# particle_i  particle_j  energy
0 1 1000.0
1 2 1000.0
2 3 1000.0
3 4 1000.0
4 5 1000.0
5 6 1000.0
6 7 1000.0
7 15 1000.0
15 14 1000.0
14 13 1000.0
13 12 1000.0
12 11 1000.0
11 10 1000.0
10 9 1000.0
9 8 1000.0
8 16 1000.0
16 17 1000.0
17 18 1000.0
18 19 1000.0
19 20 1000.0
20 21 1000.0
21 22 1000.0
22 23 1000.0
23 31 1000.0
31 30 1000.0
30 29 1000.0
29 28 1000.0
28 27 1000.0
27 26 1000.0
26 25 1000.0
25 24 1000.0
24 32 1000.0
32 33 1000.0
33 34 1000.0
34 35 1000.0
35 36 1000.0
36 37 1000.0
37 38 1000.0
38 39 1000.0
39 47 1000.0
47 46 1000.0
46 45 1000.0
45 44 1000.0
44 43 1000.0
43 42 1000.0
42 41 1000.0
41 40 1000.0
40 48 1000.0
48 49 1000.0
49 50 1000.0
50 51 1000.0
51 52 1000.0
52 53 1000.0
53 54 1000.0
54 55 1000.0
55 63 1000.0
63 62 1000.0
62 61 1000.0
61 60 1000.0
60 59 1000.0
59 58 1000.0
58 57 1000.0
57 56 1000.0
